train,val,test
normal_143,,test_027
normal_145,,test_077
normal_147,,test_126
normal_148,,test_063
normal_150,,test_113
normal_151,,test_039
normal_152,,test_026
normal_153,,test_044
normal_155,,test_112
normal_156,,test_115
normal_157,,test_124
normal_158,,test_013
normal_159,,test_050
tumor_001,,test_030
tumor_003,,test_088
tumor_004,,
tumor_005,,
tumor_006,,
tumor_007,,
tumor_008,,
tumor_010,,
tumor_011,,
tumor_012,,
tumor_015,,
tumor_016,,
tumor_017,,
tumor_018,,
tumor_019,,
tumor_020,,
tumor_021,,
tumor_022,,
tumor_025,,
tumor_027,,
tumor_030,,
tumor_031,,
tumor_032,,
tumor_033,,
tumor_034,,
tumor_035,,
tumor_036,,
tumor_037,,
tumor_038,,
tumor_039,,
tumor_041,,
tumor_042,,
tumor_043,,
tumor_045,,
tumor_046,,
tumor_047,,
tumor_048,,
tumor_050,,
tumor_051,,
tumor_052,,
tumor_055,,
tumor_056,,
tumor_057,,
tumor_058,,
tumor_060,,
tumor_061,,
tumor_062,,
tumor_063,,
tumor_065,,
tumor_066,,
tumor_067,,
tumor_068,,
tumor_069,,
tumor_070,,
tumor_072,,
tumor_073,,
tumor_074,,
tumor_075,,
tumor_076,,
tumor_077,,
tumor_078,,
tumor_079,,
tumor_080,,
tumor_081,,
tumor_083,,
tumor_084,,
tumor_085,,
tumor_086,,
tumor_087,,
tumor_088,,
tumor_089,,
tumor_090,,
tumor_091,,
tumor_092,,
tumor_093,,
tumor_095,,
tumor_097,,
tumor_098,,
tumor_099,,
tumor_100,,
tumor_101,,
tumor_102,,
tumor_103,,
tumor_104,,
tumor_105,,
tumor_106,,
tumor_108,,
tumor_109,,
tumor_110,,
normal_107,,
normal_077,,
normal_060,,
normal_083,,
normal_031,,
normal_134,,
normal_160,,
normal_146,,
normal_065,,
normal_043,,
normal_149,,
normal_033,,
normal_051,,
normal_144,,
normal_036,,
normal_078,,
tumor_013,,
tumor_028,,
tumor_002,,
tumor_029,,
tumor_107,,
tumor_082,,
tumor_014,,
tumor_094,,
tumor_064,,
tumor_053,,
tumor_111,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
