train,val,test
normal_137,,test_065
normal_141,,test_111
normal_142,,test_022
normal_144,,test_027
normal_145,,test_077
normal_146,,test_126
normal_147,,test_063
normal_148,,test_113
normal_150,,test_039
normal_151,,test_026
normal_152,,test_044
normal_153,,test_112
normal_154,,test_115
normal_155,,test_124
normal_156,,test_013
normal_157,,test_050
tumor_001,,test_030
tumor_002,,test_088
tumor_003,,
tumor_005,,
tumor_006,,
tumor_007,,
tumor_008,,
tumor_010,,
tumor_012,,
tumor_013,,
tumor_015,,
tumor_016,,
tumor_018,,
tumor_019,,
tumor_020,,
tumor_022,,
tumor_023,,
tumor_024,,
tumor_025,,
tumor_026,,
tumor_028,,
tumor_030,,
tumor_031,,
tumor_032,,
tumor_034,,
tumor_035,,
tumor_037,,
tumor_038,,
tumor_039,,
tumor_040,,
tumor_041,,
tumor_042,,
tumor_043,,
tumor_045,,
tumor_047,,
tumor_050,,
tumor_051,,
tumor_052,,
tumor_053,,
tumor_054,,
tumor_055,,
tumor_056,,
tumor_057,,
tumor_058,,
tumor_059,,
tumor_060,,
tumor_061,,
tumor_062,,
tumor_063,,
tumor_064,,
tumor_065,,
tumor_066,,
tumor_067,,
tumor_068,,
tumor_070,,
tumor_071,,
tumor_073,,
tumor_074,,
tumor_075,,
tumor_076,,
tumor_077,,
tumor_078,,
tumor_079,,
tumor_080,,
tumor_081,,
tumor_082,,
tumor_083,,
tumor_084,,
tumor_086,,
tumor_087,,
tumor_089,,
tumor_090,,
tumor_091,,
tumor_092,,
tumor_093,,
tumor_094,,
tumor_095,,
tumor_096,,
tumor_098,,
tumor_099,,
tumor_102,,
tumor_103,,
tumor_104,,
tumor_106,,
tumor_107,,
tumor_108,,
tumor_109,,
tumor_110,,
tumor_111,,
normal_020,,
normal_159,,
normal_132,,
normal_018,,
normal_063,,
normal_052,,
normal_093,,
normal_103,,
normal_043,,
normal_140,,
normal_112,,
normal_109,,
normal_098,,
normal_024,,
normal_115,,
normal_025,,
tumor_033,,
tumor_072,,
tumor_021,,
tumor_048,,
tumor_004,,
tumor_097,,
tumor_009,,
tumor_046,,
tumor_027,,
tumor_011,,
tumor_017,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
